subid,gender,age,list,agegroup,condition,trial,side,trial.type,name_location
102612_08,male,5.1,4,5,After,2,0,After A,A
111612_06,female,5.1,4,5,After,2,0,After A,A
011713_03,female,adult,4,adult,After,2,0,After A,A
011713_05,female,adult,4,adult,After,2,0,After A,A
011713_07,female,adult,4,adult,After,2,1,After A,A
012413_08,male,adult,4,adult,After,2,1,After A,A
012413_10,female,adult,4,adult,After,2,0,After A,A
012513_16,female,adult,4,adult,After,2,1,After A,A
011013_10,female,2.1,3,2,After,3,0,After A,A
100312_05,male,2.8,3,2,After,3,1,After A,A
100312_07,male,2.9,3,2,After,3,1,After A,A
100312_18,male,3.0,3,2,After,3,1,After A,A
100312_20,male,2.0,3,2,After,3,1,After A,A
101912_04,male,2.9,3,2,After,3,1,After A,A
101912_08,male,2.7,3,2,After,3,1,After A,A
102012_04,female,2.4,3,2,After,3,0,After A,A
011013_06,female,3.4,3,3,After,3,1,After A,A
012413_02,male,3.7,3,3,After,3,1,After A,A
092612_01,male,3.7,3,3,After,3,0,After A,A
092612_04,male,3.0,3,3,After,3,1,After A,A
092812_02,male,3.6,3,3,After,3,0,After A,A
100312_02,male,3.9,3,3,After,3,0,After A,A
101212_11,male,3.7,3,3,After,3,1,After A,A
101912_09,female,3.9,3,3,After,3,1,After A,A
092612_06,female,4.4,3,4,After,3,0,After A,A
092612_10,male,4.2,3,4,After,3,1,After A,A
092812_06,female,4.2,3,4,After,3,1,After A,A
100312_12,female,4.2,3,4,After,3,1,After A,A
100312_14,female,4.3,3,4,After,3,0,After A,A
101212_02,female,4.8,3,4,After,3,0,After A,A
101212_08,male,4.5,3,4,After,3,1,After A,A
111612_08,male,4.1,3,4,After,3,0,After A,A
011013_11,female,5.0,3,5,After,3,0,After A,A
012413_07,male,5.3,3,5,After,3,0,After A,A
102012_08,male,5.0,3,5,After,3,0,After A,A
102012_16,female,5.4,3,5,After,3,0,After A,A
110912_02,male,5.1,3,5,After,3,1,After A,A
110912_03,female,5.9,3,5,After,3,0,After A,A
110912_04,male,5.3,3,5,After,3,0,After A,A
111612_17,female,5.3,3,5,After,3,1,After A,A
011713_02,female,adult,3,adult,After,3,0,After A,A
011713_04,female,adult,3,adult,After,3,0,After A,A
011713_06,female,adult,3,adult,After,3,1,After A,A
012413_01,male,adult,3,adult,After,3,0,After A,A
012413_09,male,adult,3,adult,After,3,0,After A,A
012413_11,female,adult,3,adult,After,3,1,After A,A
011013_03,male,2.4,4,2,After,4,0,After A,A
100312_03,male,2.7,4,2,After,4,1,After A,A
100312_13,female,2.7,4,2,After,4,1,After A,A
101212_06,male,2.5,4,2,After,4,0,After A,A
101212_15,female,2.3,4,2,After,4,0,After A,A
101912_06,female,2.6,4,2,After,4,0,After A,A
101912_10,male,2.5,4,2,After,4,1,After A,A
102612_07,female,2.3,4,2,After,4,1,After A,A
011013_08,female,3.5,4,3,After,4,0,After A,A
092612_03,male,3.1,4,3,After,4,1,After A,A
092612_09,female,3.6,4,3,After,4,1,After A,A
092812_07,female,3.8,4,3,After,4,1,After A,A
092812_09,male,3.7,4,3,After,4,0,After A,A
100312_06,male,3.0,4,3,After,4,1,After A,A
100312_09,female,3.6,4,3,After,4,1,After A,A
100312_19,male,3.4,4,3,After,4,0,After A,A
011013_04,female,5.0,4,4,After,4,1,After A,A
092812_03,female,4.8,4,4,After,4,0,After A,A
100312_11,male,4.6,4,4,After,4,0,After A,A
101212_07,male,4.5,4,4,After,4,1,After A,A
101212_09,female,4.5,4,4,After,4,0,After A,A
101212_10,male,4.6,4,4,After,4,0,After A,A
101212_12,male,4.7,4,4,After,4,0,After A,A
101212_14,male,4.9,4,4,After,4,1,After A,A
011013_01,female,5.9,4,5,After,4,1,After A,A
012413_03,male,5.3,4,5,After,4,1,After A,A
012513_12,female,5.4,4,5,After,4,0,After A,A
102012_15,female,5.7,4,5,After,4,0,After A,A
102612_04,female,6.0,4,5,After,4,1,After A,A
102612_08,male,5.1,4,5,After,4,0,After A,A
111612_06,female,5.1,4,5,After,4,1,After A,A
011713_03,female,adult,4,adult,After,4,1,After A,A
011713_05,female,adult,4,adult,After,4,0,After A,A
011713_07,female,adult,4,adult,After,4,1,After A,A
012413_08,male,adult,4,adult,After,4,0,After A,A
012413_10,female,adult,4,adult,After,4,1,After A,A
012513_16,female,adult,4,adult,After,4,0,After A,A
011013_03,male,2.4,4,2,After,1,1,After B,B
100312_03,male,2.7,4,2,After,1,1,After B,B
100312_13,female,2.7,4,2,After,1,1,After B,B
101212_06,male,2.5,4,2,After,1,0,After B,B
101212_15,female,2.3,4,2,After,1,1,After B,B
101912_06,female,2.6,4,2,After,1,1,After B,B
101912_10,male,2.5,4,2,After,1,0,After B,B
102612_07,female,2.3,4,2,After,1,0,After B,B
011013_08,female,3.5,4,3,After,1,1,After B,B
092612_03,male,3.1,4,3,After,1,0,After B,B
092612_09,female,3.6,4,3,After,1,1,After B,B
092812_07,female,3.8,4,3,After,1,1,After B,B
092812_09,male,3.7,4,3,After,1,0,After B,B
100312_06,male,3.0,4,3,After,1,1,After B,B
100312_09,female,3.6,4,3,After,1,1,After B,B
100312_19,male,3.4,4,3,After,1,1,After B,B
011013_04,female,5.0,4,4,After,1,0,After B,B
092812_03,female,4.8,4,4,After,1,1,After B,B
100312_11,male,4.6,4,4,After,1,0,After B,B
101212_07,male,4.5,4,4,After,1,1,After B,B
101212_09,female,4.5,4,4,After,1,1,After B,B
101212_10,male,4.6,4,4,After,1,0,After B,B
101212_12,male,4.7,4,4,After,1,0,After B,B
101212_14,male,4.9,4,4,After,1,1,After B,B
011013_01,female,5.9,4,5,After,1,1,After B,B
012413_03,male,5.3,4,5,After,1,0,After B,B
012513_12,female,5.4,4,5,After,1,1,After B,B
102012_15,female,5.7,4,5,After,1,1,After B,B
102612_04,female,6.0,4,5,After,1,1,After B,B
102612_05,female,5.1,4,5,After,1,0,After B,B
102612_08,male,5.1,4,5,After,1,1,After B,B
111612_06,female,5.1,4,5,After,1,0,After B,B
011713_03,female,adult,4,adult,After,1,0,After B,B
011713_05,female,adult,4,adult,After,1,1,After B,B
011713_07,female,adult,4,adult,After,1,0,After B,B
012413_08,male,adult,4,adult,After,1,1,After B,B
012413_10,female,adult,4,adult,After,1,1,After B,B
012513_16,female,adult,4,adult,After,1,0,After B,B
011013_10,female,2.1,3,2,After,2,0,After B,B
100312_05,male,2.8,3,2,After,2,0,After B,B
100312_07,male,2.9,3,2,After,2,1,After B,B
100312_18,male,3.0,3,2,After,2,1,After B,B
100312_20,male,2.0,3,2,After,2,1,After B,B
101912_04,male,2.9,3,2,After,2,1,After B,B
101912_08,male,2.7,3,2,After,2,1,After B,B
102012_04,female,2.4,3,2,After,2,1,After B,B
011013_06,female,3.4,3,3,After,2,0,After B,B
012413_02,male,3.7,3,3,After,2,1,After B,B
092612_01,male,3.7,3,3,After,2,1,After B,B
092612_04,male,3.0,3,3,After,2,1,After B,B
092812_02,male,3.6,3,3,After,2,1,After B,B
100312_02,male,3.9,3,3,After,2,1,After B,B
101212_11,male,3.7,3,3,After,2,0,After B,B
101912_09,female,3.9,3,3,After,2,1,After B,B
092612_06,female,4.4,3,4,After,2,1,After B,B
092612_10,male,4.2,3,4,After,2,1,After B,B
092812_06,female,4.2,3,4,After,2,1,After B,B
100312_12,female,4.2,3,4,After,2,1,After B,B
100312_14,female,4.3,3,4,After,2,1,After B,B
101212_02,female,4.8,3,4,After,2,1,After B,B
101212_08,male,4.5,3,4,After,2,0,After B,B
111612_08,male,4.1,3,4,After,2,1,After B,B
011013_11,female,5.0,3,5,After,2,1,After B,B
012413_07,male,5.3,3,5,After,2,1,After B,B
102012_08,male,5.0,3,5,After,2,1,After B,B
102012_16,female,5.4,3,5,After,2,0,After B,B
110912_02,male,5.1,3,5,After,2,1,After B,B
110912_03,female,5.9,3,5,After,2,1,After B,B
110912_04,male,5.3,3,5,After,2,1,After B,B
111612_17,female,5.3,3,5,After,2,0,After B,B
011713_02,female,adult,3,adult,After,2,0,After B,B
011713_04,female,adult,3,adult,After,2,1,After B,B
011713_06,female,adult,3,adult,After,2,0,After B,B
012413_01,male,adult,3,adult,After,2,1,After B,B
012413_09,male,adult,3,adult,After,2,0,After B,B
012413_11,female,adult,3,adult,After,2,0,After B,B
011013_03,male,2.4,4,2,After,3,0,After B,B
100312_03,male,2.7,4,2,After,3,1,After B,B
100312_13,female,2.7,4,2,After,3,1,After B,B
101212_06,male,2.5,4,2,After,3,1,After B,B
101212_15,female,2.3,4,2,After,3,0,After B,B
101912_06,female,2.6,4,2,After,3,1,After B,B
101912_10,male,2.5,4,2,After,3,1,After B,B
102612_07,female,2.3,4,2,After,3,0,After B,B
011013_08,female,3.5,4,3,After,3,1,After B,B
092612_03,male,3.1,4,3,After,3,1,After B,B
092612_09,female,3.6,4,3,After,3,1,After B,B
092812_07,female,3.8,4,3,After,3,1,After B,B
092812_09,male,3.7,4,3,After,3,1,After B,B
100312_06,male,3.0,4,3,After,3,1,After B,B
100312_09,female,3.6,4,3,After,3,1,After B,B
100312_19,male,3.4,4,3,After,3,0,After B,B
011013_04,female,5.0,4,4,After,3,1,After B,B
092812_03,female,4.8,4,4,After,3,1,After B,B
100312_11,male,4.6,4,4,After,3,0,After B,B
101212_07,male,4.5,4,4,After,3,1,After B,B
101212_09,female,4.5,4,4,After,3,1,After B,B
101212_10,male,4.6,4,4,After,3,1,After B,B
101212_12,male,4.7,4,4,After,3,1,After B,B
101212_14,male,4.9,4,4,After,3,1,After B,B
011013_01,female,5.9,4,5,After,3,1,After B,B
012413_03,male,5.3,4,5,After,3,0,After B,B
012513_12,female,5.4,4,5,After,3,0,After B,B
102012_15,female,5.7,4,5,After,3,1,After B,B
102612_04,female,6.0,4,5,After,3,1,After B,B
102612_05,female,5.1,4,5,After,3,1,After B,B
102612_08,male,5.1,4,5,After,3,1,After B,B
111612_06,female,5.1,4,5,After,3,0,After B,B
011713_03,female,adult,4,adult,After,3,1,After B,B
011713_05,female,adult,4,adult,After,3,1,After B,B
011713_07,female,adult,4,adult,After,3,1,After B,B
012413_08,male,adult,4,adult,After,3,1,After B,B
012413_10,female,adult,4,adult,After,3,1,After B,B
012513_16,female,adult,4,adult,After,3,1,After B,B
011013_10,female,2.1,3,2,After,4,0,After B,B
100312_05,male,2.8,3,2,After,4,1,After B,B
100312_07,male,2.9,3,2,After,4,1,After B,B
100312_18,male,3.0,3,2,After,4,1,After B,B
100312_20,male,2.0,3,2,After,4,1,After B,B
101912_04,male,2.9,3,2,After,4,1,After B,B
101912_08,male,2.7,3,2,After,4,1,After B,B
102012_04,female,2.4,3,2,After,4,0,After B,B
011013_06,female,3.4,3,3,After,4,0,After B,B
012413_02,male,3.7,3,3,After,4,0,After B,B
092612_01,male,3.7,3,3,After,4,1,After B,B
092612_04,male,3.0,3,3,After,4,0,After B,B
092812_02,male,3.6,3,3,After,4,1,After B,B
100312_02,male,3.9,3,3,After,4,1,After B,B
101212_11,male,3.7,3,3,After,4,1,After B,B
101912_09,female,3.9,3,3,After,4,0,After B,B
092612_06,female,4.4,3,4,After,4,1,After B,B
092612_10,male,4.2,3,4,After,4,0,After B,B
092812_06,female,4.2,3,4,After,4,0,After B,B
100312_12,female,4.2,3,4,After,4,1,After B,B
100312_14,female,4.3,3,4,After,4,0,After B,B
101212_02,female,4.8,3,4,After,4,1,After B,B
101212_08,male,4.5,3,4,After,4,0,After B,B
111612_08,male,4.1,3,4,After,4,1,After B,B
011013_11,female,5.0,3,5,After,4,1,After B,B
012413_07,male,5.3,3,5,After,4,1,After B,B
102012_08,male,5.0,3,5,After,4,1,After B,B
102012_16,female,5.4,3,5,After,4,1,After B,B
102612_05,female,5.1,4,5,After,4,0,After B,B
110912_02,male,5.1,3,5,After,4,0,After B,B
110912_03,female,5.9,3,5,After,4,0,After B,B
110912_04,male,5.3,3,5,After,4,0,After B,B
111612_17,female,5.3,3,5,After,4,1,After B,B
011713_02,female,adult,3,adult,After,4,1,After B,B
011713_04,female,adult,3,adult,After,4,1,After B,B
011713_06,female,adult,3,adult,After,4,0,After B,B
012413_01,male,adult,3,adult,After,4,0,After B,B
012413_09,male,adult,3,adult,After,4,1,After B,B
012413_11,female,adult,3,adult,After,4,1,After B,B
011013_07,female,2.8,1,2,During,1,1,During A,A
091112_03,female,3.0,1,2,During,1,0,During A,A
091212_01,female,2.7,1,2,During,1,1,During A,A
091312_02,male,2.0,1,2,During,1,0,During A,A
091312_10,female,2.9,1,2,During,1,0,During A,A
091412_02,female,2.3,1,2,During,1,0,During A,A
092812_05,male,2.9,1,2,During,1,0,During A,A
092812_08,female,2.1,1,2,During,1,0,During A,A
091112_07,male,3.3,1,3,During,1,0,During A,A
091112_11,male,3.9,1,3,During,1,0,During A,A
091212_09,male,3.9,1,3,During,1,0,During A,A
091412_04,male,3.7,1,3,During,1,1,During A,A
102612_01,male,3.9,1,3,During,1,0,During A,A
111612_02,female,3.6,1,3,During,1,0,During A,A
111612_03,male,3.3,1,3,During,1,1,During A,A
091112_01,male,4.1,1,4,During,1,0,During A,A
091112_05,female,4.9,1,4,During,1,0,During A,A
091112_09,male,4.3,1,4,During,1,0,During A,A
091212_05,female,4.8,1,4,During,1,0,During A,A
091312_04,male,4.5,1,4,During,1,0,During A,A
091312_06,male,4.0,1,4,During,1,0,During A,A
091312_08,female,4.3,1,4,During,1,0,During A,A
091412_09,female,4.8,1,4,During,1,0,During A,A
091412_11,female,5.1,1,5,During,1,0,During A,A
092612_05,female,5.4,1,5,During,1,1,During A,A
100312_15,female,5.8,1,5,During,1,0,During A,A
101912_02,male,5.3,1,5,During,1,0,During A,A
101912_05,female,5.5,1,5,During,1,0,During A,A
102612_06,female,5.1,1,5,During,1,0,During A,A
110912_05,male,5.2,1,5,During,1,0,During A,A
111612_05,male,5.7,1,5,During,1,0,During A,A
012513_01,male,adult,1,adult,During,1,0,During A,A
012513_03,female,adult,1,adult,During,1,0,During A,A
012513_06,female,adult,1,adult,During,1,0,During A,A
012513_08,female,adult,1,adult,During,1,0,During A,A
012513_11,female,adult,1,adult,During,1,1,During A,A
012513_14,female,adult,1,adult,During,1,0,During A,A
091212_06,male,2.9,2,2,During,2,0,During A,A
091212_08,female,2.4,2,2,During,2,1,During A,A
091212_10,female,2.3,2,2,During,2,0,During A,A
091312_12,female,2.7,2,2,During,2,1,During A,A
092612_08,male,2.9,2,2,During,2,0,During A,A
092812_04,female,2.5,2,2,During,2,0,During A,A
092812_10,female,2.5,2,2,During,2,0,During A,A
092812_12,female,2.9,2,2,During,2,1,During A,A
091112_06,male,3.2,2,3,During,2,0,During A,A
091212_02,male,3.5,2,3,During,2,1,During A,A
091212_04,male,3.6,2,3,During,2,1,During A,A
091312_05,male,3.5,2,3,During,2,0,During A,A
091312_09,male,3.7,2,3,During,2,1,During A,A
091412_03,male,3.0,2,3,During,2,0,During A,A
091412_05,female,3.2,2,3,During,2,1,During A,A
091412_07,female,3.9,2,3,During,2,0,During A,A
091412_10,female,3.0,2,3,During,2,0,During A,A
091112_04,male,4.5,2,4,During,2,0,During A,A
091112_08,female,4.0,2,4,During,2,1,During A,A
091312_01,male,4.5,2,4,During,2,0,During A,A
091412_01,male,4.8,2,4,During,2,1,During A,A
091412_13,female,4.2,2,4,During,2,1,During A,A
092612_02,male,4.3,2,4,During,2,1,During A,A
092812_01,male,4.4,2,4,During,2,0,During A,A
111612_01,male,4.3,2,4,During,2,0,During A,A
091112_12,male,5.3,2,5,During,2,1,During A,A
091312_07,male,5.5,2,5,During,2,0,During A,A
092612_07,male,5.2,2,5,During,2,0,During A,A
100312_04,female,5.1,2,5,During,2,0,During A,A
100312_10,female,5.6,2,5,During,2,0,During A,A
100312_17,male,5.4,2,5,During,2,0,During A,A
110912_01,female,5.0,2,5,During,2,0,During A,A
111612_16,male,5.3,2,5,During,2,0,During A,A
012513_02,female,adult,2,adult,During,2,0,During A,A
012513_04,male,adult,2,adult,During,2,0,During A,A
012513_07,female,adult,2,adult,During,2,0,During A,A
012513_09,male,adult,2,adult,During,2,0,During A,A
012513_13,male,adult,2,adult,During,2,0,During A,A
012513_15,female,adult,2,adult,During,2,0,During A,A
011013_07,female,2.8,1,2,During,3,1,During A,A
091112_03,female,3.0,1,2,During,3,0,During A,A
091212_01,female,2.7,1,2,During,3,0,During A,A
091312_02,male,2.0,1,2,During,3,0,During A,A
091312_10,female,2.9,1,2,During,3,0,During A,A
091412_02,female,2.3,1,2,During,3,0,During A,A
092812_05,male,2.9,1,2,During,3,0,During A,A
092812_08,female,2.1,1,2,During,3,1,During A,A
091112_07,male,3.3,1,3,During,3,1,During A,A
091112_11,male,3.9,1,3,During,3,0,During A,A
091212_09,male,3.9,1,3,During,3,1,During A,A
091412_04,male,3.7,1,3,During,3,0,During A,A
102612_01,male,3.9,1,3,During,3,0,During A,A
111612_02,female,3.6,1,3,During,3,0,During A,A
111612_03,male,3.3,1,3,During,3,0,During A,A
091112_01,male,4.1,1,4,During,3,0,During A,A
091112_05,female,4.9,1,4,During,3,0,During A,A
091112_09,male,4.3,1,4,During,3,0,During A,A
091212_05,female,4.8,1,4,During,3,0,During A,A
091312_04,male,4.5,1,4,During,3,1,During A,A
091312_06,male,4.0,1,4,During,3,1,During A,A
091312_08,female,4.3,1,4,During,3,0,During A,A
091412_09,female,4.8,1,4,During,3,1,During A,A
091412_11,female,5.1,1,5,During,3,0,During A,A
092612_05,female,5.4,1,5,During,3,0,During A,A
100312_15,female,5.8,1,5,During,3,0,During A,A
101912_02,male,5.3,1,5,During,3,0,During A,A
101912_05,female,5.5,1,5,During,3,1,During A,A
102612_06,female,5.1,1,5,During,3,0,During A,A
110912_05,male,5.2,1,5,During,3,1,During A,A
111612_05,male,5.7,1,5,During,3,0,During A,A
012513_01,male,adult,1,adult,During,3,0,During A,A
012513_03,female,adult,1,adult,During,3,0,During A,A
012513_06,female,adult,1,adult,During,3,0,During A,A
012513_08,female,adult,1,adult,During,3,1,During A,A
012513_11,female,adult,1,adult,During,3,0,During A,A
012513_14,female,adult,1,adult,During,3,0,During A,A
091212_06,male,2.9,2,2,During,4,1,During A,A
091212_08,female,2.4,2,2,During,4,1,During A,A
091212_10,female,2.3,2,2,During,4,1,During A,A
092612_08,male,2.9,2,2,During,4,0,During A,A
092812_04,female,2.5,2,2,During,4,1,During A,A
092812_10,female,2.5,2,2,During,4,0,During A,A
092812_12,female,2.9,2,2,During,4,0,During A,A
091112_06,male,3.2,2,3,During,4,0,During A,A
091212_02,male,3.5,2,3,During,4,0,During A,A
091212_04,male,3.6,2,3,During,4,1,During A,A
091312_05,male,3.5,2,3,During,4,0,During A,A
091312_09,male,3.7,2,3,During,4,0,During A,A
091412_03,male,3.0,2,3,During,4,0,During A,A
091412_05,female,3.2,2,3,During,4,0,During A,A
091412_07,female,3.9,2,3,During,4,1,During A,A
091412_10,female,3.0,2,3,During,4,0,During A,A
091112_04,male,4.5,2,4,During,4,0,During A,A
091112_08,female,4.0,2,4,During,4,1,During A,A
091312_01,male,4.5,2,4,During,4,0,During A,A
091412_01,male,4.8,2,4,During,4,0,During A,A
091412_13,female,4.2,2,4,During,4,0,During A,A
092612_02,male,4.3,2,4,During,4,1,During A,A
092812_01,male,4.4,2,4,During,4,1,During A,A
111612_01,male,4.3,2,4,During,4,0,During A,A
091112_12,male,5.3,2,5,During,4,0,During A,A
091312_07,male,5.5,2,5,During,4,1,During A,A
092612_07,male,5.2,2,5,During,4,0,During A,A
100312_04,female,5.1,2,5,During,4,0,During A,A
100312_10,female,5.6,2,5,During,4,0,During A,A
100312_17,male,5.4,2,5,During,4,0,During A,A
110912_01,female,5.0,2,5,During,4,0,During A,A
111612_16,male,5.3,2,5,During,4,1,During A,A
012513_02,female,adult,2,adult,During,4,0,During A,A
012513_04,male,adult,2,adult,During,4,0,During A,A
012513_07,female,adult,2,adult,During,4,0,During A,A
012513_09,male,adult,2,adult,During,4,0,During A,A
012513_13,male,adult,2,adult,During,4,0,During A,A
012513_15,female,adult,2,adult,During,4,0,During A,A
091212_06,male,2.9,2,2,During,1,0,During B,B
091212_08,female,2.4,2,2,During,1,0,During B,B
091212_10,female,2.3,2,2,During,1,0,During B,B
091312_12,female,2.7,2,2,During,1,0,During B,B
092612_08,male,2.9,2,2,During,1,0,During B,B
092812_04,female,2.5,2,2,During,1,1,During B,B
092812_10,female,2.5,2,2,During,1,1,During B,B
092812_12,female,2.9,2,2,During,1,1,During B,B
091112_06,male,3.2,2,3,During,1,1,During B,B
091212_02,male,3.5,2,3,During,1,0,During B,B
091212_04,male,3.6,2,3,During,1,1,During B,B
091312_05,male,3.5,2,3,During,1,1,During B,B
091312_09,male,3.7,2,3,During,1,1,During B,B
091412_03,male,3.0,2,3,During,1,0,During B,B
091412_05,female,3.2,2,3,During,1,1,During B,B
091412_07,female,3.9,2,3,During,1,0,During B,B
091412_10,female,3.0,2,3,During,1,0,During B,B
091112_04,male,4.5,2,4,During,1,0,During B,B
091112_08,female,4.0,2,4,During,1,1,During B,B
091312_01,male,4.5,2,4,During,1,1,During B,B
091412_01,male,4.8,2,4,During,1,1,During B,B
091412_13,female,4.2,2,4,During,1,1,During B,B
092612_02,male,4.3,2,4,During,1,1,During B,B
092812_01,male,4.4,2,4,During,1,1,During B,B
111612_01,male,4.3,2,4,During,1,0,During B,B
091112_12,male,5.3,2,5,During,1,1,During B,B
091312_07,male,5.5,2,5,During,1,1,During B,B
092612_07,male,5.2,2,5,During,1,1,During B,B
100312_04,female,5.1,2,5,During,1,1,During B,B
100312_10,female,5.6,2,5,During,1,1,During B,B
100312_17,male,5.4,2,5,During,1,1,During B,B
110912_01,female,5.0,2,5,During,1,1,During B,B
111612_16,male,5.3,2,5,During,1,1,During B,B
012513_02,female,adult,2,adult,During,1,1,During B,B
012513_04,male,adult,2,adult,During,1,1,During B,B
012513_07,female,adult,2,adult,During,1,1,During B,B
012513_09,male,adult,2,adult,During,1,1,During B,B
012513_13,male,adult,2,adult,During,1,0,During B,B
012513_15,female,adult,2,adult,During,1,1,During B,B
011013_07,female,2.8,1,2,During,2,0,During B,B
091112_03,female,3.0,1,2,During,2,1,During B,B
091212_01,female,2.7,1,2,During,2,1,During B,B
091312_02,male,2.0,1,2,During,2,0,During B,B
091312_10,female,2.9,1,2,During,2,1,During B,B
091412_02,female,2.3,1,2,During,2,1,During B,B
092812_05,male,2.9,1,2,During,2,1,During B,B
092812_08,female,2.1,1,2,During,2,1,During B,B
091112_07,male,3.3,1,3,During,2,1,During B,B
091112_11,male,3.9,1,3,During,2,1,During B,B
091212_09,male,3.9,1,3,During,2,1,During B,B
091412_04,male,3.7,1,3,During,2,0,During B,B
102612_01,male,3.9,1,3,During,2,1,During B,B
111612_02,female,3.6,1,3,During,2,0,During B,B
111612_03,male,3.3,1,3,During,2,1,During B,B
091112_01,male,4.1,1,4,During,2,1,During B,B
091112_05,female,4.9,1,4,During,2,1,During B,B
091112_09,male,4.3,1,4,During,2,1,During B,B
091212_05,female,4.8,1,4,During,2,0,During B,B
091312_04,male,4.5,1,4,During,2,1,During B,B
091312_06,male,4.0,1,4,During,2,1,During B,B
091312_08,female,4.3,1,4,During,2,1,During B,B
091412_09,female,4.8,1,4,During,2,1,During B,B
091412_11,female,5.1,1,5,During,2,1,During B,B
092612_05,female,5.4,1,5,During,2,0,During B,B
100312_15,female,5.8,1,5,During,2,1,During B,B
101912_02,male,5.3,1,5,During,2,1,During B,B
101912_05,female,5.5,1,5,During,2,1,During B,B
102612_06,female,5.1,1,5,During,2,1,During B,B
110912_05,male,5.2,1,5,During,2,1,During B,B
111612_05,male,5.7,1,5,During,2,1,During B,B
012513_01,male,adult,1,adult,During,2,1,During B,B
012513_03,female,adult,1,adult,During,2,1,During B,B
012513_06,female,adult,1,adult,During,2,0,During B,B
012513_08,female,adult,1,adult,During,2,1,During B,B
012513_11,female,adult,1,adult,During,2,1,During B,B
012513_14,female,adult,1,adult,During,2,1,During B,B
091212_06,male,2.9,2,2,During,3,1,During B,B
091212_08,female,2.4,2,2,During,3,0,During B,B
091212_10,female,2.3,2,2,During,3,1,During B,B
091312_12,female,2.7,2,2,During,3,1,During B,B
092612_08,male,2.9,2,2,During,3,1,During B,B
092812_04,female,2.5,2,2,During,3,0,During B,B
092812_10,female,2.5,2,2,During,3,1,During B,B
